Title,Citations,Author,Publication Title,Publication Year,Item Type,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Title Duplicate,TA Keyword
An Emotion-Based Interaction Strategy to Improve Human-Robot Interaction,4,"Ranieri, Caetano M.; Romero, Roseli A. F.",PROCEEDINGS OF 13TH LATIN AMERICAN ROBOTICS SYMPOSIUM AND 4TH BRAZILIAN SYMPOSIUM ON ROBOTICS - LARS/SBR 2016,2016,conferencePaper,978-1-5090-3656-1,,10.1109/LARS-SBR.2016.13,,"Emotion and empathy are key subjects on human-robot interaction, especially regarding social robots. Several studies have investigated emotional reactions of humans toward robots, while others deal with development of actual systems to analyze how affective feedback may influence this kind of interaction. This paper presents an emotion-aware interaction strategy applied to an embodied virtual agent, implemented as an Android application. The system assigns two distinct paradigms to the virtual character, according to the user's emotion, inferred through facial expressions analysis. Within subject user experiments have been performed, in order to evaluate if the proposed strategy improves empathy and pleasantness.",2016,2021-04-19T15:57:20Z,2021-04-19T15:57:20Z,,31-36,6,,,,,,,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Backup Publisher: Brazilian Comp Soc; Centro Estudos Sistemas Avancados Recife; Centro Informatica UFPE; ROBOLIURE; VIRTUS IMPAVIDA; Inst Inovacao; Robolivre; CAPES; Inst SENAI Inovacao; Conselho Nacl Desenvolvimento Cientifico Tecnologico; Fundacao Amparo Ciencia Tecnologia Estado Pernambuco; IEEE Robot & Automat Soc Chapter Brazil; IEEE Latin Amer Robot Council Type: Proceedings Paper,"<p>13th Latin American Robotics Symposium / 4th Brazilian Robotics Symposium (LARS/SBR), Recife, BRAZIL, OCT 08-12, 2016</p>",,,,,"Cavalcante, SV and Tonidandel, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anemotionbasedinteractionstrategytoimprovehumanrobotinteraction,an emotionbased interaction strategy to improve humanrobot interaction emotion and empathy are key subjects on humanrobot interaction especially regarding social robots several studies have investigated emotional reactions of humans toward robots while others deal with development of actual systems to analyze how affective feedback may influence this kind of interaction this paper presents an emotionaware interaction strategy applied to an embodied virtual agent implemented as an android application the system assigns two distinct paradigms to the virtual character according to the users emotion inferred through facial expressions analysis within subject user experiments have been performed in order to evaluate if the proposed strategy improves empathy and pleasantness
Empathic Interaction using the Computational Emotion Model,5,"Rasool, Zeeshan; Masuyama, Naoki; Islam, Md. Nazrul; Loo, Chu Kiong",2015 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL IN℡LIGENCE (IEEE SSCI),2015,conferencePaper,978-1-4799-7560-0,,10.1109/SSCI.2015.26,,"This paper describes the empathy oriented human-robot interaction model. It is projected to design the model capable of different empathic responses (parallel and reactive) during the course of interaction with the user, depending upon the personality and mood factors of the robot. The proposed model encompasses three main stages i.e., perception, empathic appraisal and empathic expression. Perception refers to capturing user's emotion state via facial expression recognition. Empathic appraisal is based on the computational emotional model for generating its internal emotions, mood state and empathic responses. The internal emotions are defined using psychological studies and generated on 2D (pleasure-arousal) scaling model; whereas, fuzzy logic is used to calculate the intensity of the each emotion. A virtual facial expression simulator is applied for expression of resultant empathic emotions. Preliminary experimental results show that the proposed model is capable of exhibiting different empathic responses with respect to the personality and mood factors.",2015,2021-04-19T15:57:37Z,2021-04-19T15:57:37Z,,109-116,8,,,,,,,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Backup Publisher: IEEE; IEEE Computational Intelligence Soc; IEEE BigData Type: Proceedings Paper,"<p>IEEE Symposium Series Computational Intelligence, Cape Town, SOUTH AFRICA, DEC 07-10, 2015</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empathicinteractionusingthecomputationalemotionmodel,empathic interaction using the computational emotion model this paper describes the empathy oriented humanrobot interaction model it is projected to design the model capable of different empathic responses parallel and reactive during the course of interaction with the user depending upon the personality and mood factors of the robot the proposed model encompasses three main stages ie perception empathic appraisal and empathic expression perception refers to capturing users emotion state via facial expression recognition empathic appraisal is based on the computational emotional model for generating its internal emotions mood state and empathic responses the internal emotions are defined using psychological studies and generated on 2d pleasurearousal scaling model whereas fuzzy logic is used to calculate the intensity of the each emotion a virtual facial expression simulator is applied for expression of resultant empathic emotions preliminary experimental results show that the proposed model is capable of exhibiting different empathic responses with respect to the personality and mood factors
Development of a Cloud-based Computational Framework for an Empathetic Robot,1,"Salaken, Syed Moshfeq; Nahavandi, Saeid; McGinn, Conor; Hossny, Mohammed; Kelly, Kevin; Abobakr, Ahmed; Nahavandi, Darius; Iskander, Julie",PROCEEDINGS OF 2019 11TH INTERNATIONAL CONFERENCE ON COMPUTER AND AUTOMATION ENGINEERING (ICCAE 2019),2019,conferencePaper,978-1-4503-6287-0,,10.1145/3313991.3314018,,"This article presents the development and preliminary evaluation of an empathy controlled robot. Such a robot is one step forward towards industry 5.0, as it provides a theoretical framework to enable the performance of the robot to be customized to suit the needs of both the task as well as the operator. An inventive step is taken through the separation of computational resources based on whether the algorithms are addressing functional or experiential needs. The paper therefore addresses the requirement for new approaches that can be employed in the design of mobile robots to reduce cost, power consumption, and computational burden of the system. We propose that tasks requiring real-time and safety critical control are processed using dedicated on-board computers, whereas functionality dedicated to system optimization, machine learning and customization are handled through use a cloud-based platform. In this paper, key components of the architecture are defined, and the development and preliminary evaluation of an exemplar robot capable of changing its behavior in accordance with the perceived emotional state of an operator's voice is presented.",2019,2021-04-19T15:56:34Z,2021-04-19T15:56:34Z,,102-108,7,,,,,,International Conference on Computer and Automation Engineering,,,,ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",English,,,,,,,ISSN: 2154-4352 Type: Proceedings Paper,"<p>11th International Conference on Computer and Automation Engineering (ICCAE), Perth, AUSTRALIA, FEB 23-25, 2019</p>",,,,cloud control; deep learning; emotion classification; intent perception; robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,developmentofacloudbasedcomputationalframeworkforanempatheticrobot,development of a cloudbased computational framework for an empathetic robot this article presents the development and preliminary evaluation of an empathy controlled robot such a robot is one step forward towards industry 50 as it provides a theoretical framework to enable the performance of the robot to be customized to suit the needs of both the task as well as the operator an inventive step is taken through the separation of computational resources based on whether the algorithms are addressing functional or experiential needs the paper therefore addresses the requirement for new approaches that can be employed in the design of mobile robots to reduce cost power consumption and computational burden of the system we propose that tasks requiring realtime and safety critical control are processed using dedicated onboard computers whereas functionality dedicated to system optimization machine learning and customization are handled through use a cloudbased platform in this paper key components of the architecture are defined and the development and preliminary evaluation of an exemplar robot capable of changing its behavior in accordance with the perceived emotional state of an operators voice is presented
Good Robot Design or Machiavellian? An in-the-wild robot leveraging minimal knowledge of passersby's culture,6,"Sanoubari, Elaheh; Seo, Stela H.; Garcha, Diljot; Young, James E.; Loureiro-Rodriguez, Veronica",HRI `19: 2019 14TH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,2019,conferencePaper,978-1-5386-8555-6,,10.1109/HRI.2019.8673326,,"Social robots are being designed to use human-like communication techniques, including body language, social signals, and empathy, to work effectively with people. Just as between people, some robots learn about people and adapt to them. In this paper we present one such robot design: we developed Sam, a robot that learns minimal information about a person's background, and adapts to this background. Our in-the-wild study found that people helped Sam for significantly longer when it adapted to match their background. While initially we saw this as a success, in re-considering our study we started seeing a different angle. Our robot effectively deceived people ( changed its story and text), based on some knowledge of their background, to get more work from them. There was little direct benefit to the person from this adaptation, yet the robot stood to gain free labor. We would like to pose the question to the community: is this simply good robot design, or, is our robot being manipulative? Where does the ethical line lay between a robot leveraging social techniques to improve interaction, and the more negative framing of a robot or algorithm taking advantage of people? How can we decide what is good here, and what is less desirable?",2019,2021-04-19T15:56:37Z,2021-04-19T15:56:37Z,,382-391,10,,,,,,ACM IEEE International Conference on Human-Robot Interaction,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Backup Publisher: Assoc Comp Machinery; IEEE; IEEE Robot & Automat Soc; ACM SIGCHI; ACM SIGAI; AAAI; Korea Tourism Org; Daegu Convent & Visitors Bur; ColorfulDaegu ISSN: 2167-2121 Type: Proceedings Paper,"<p>14th ACM/IEEE International Conference on Human-Robot Interaction (HRI), Daegu, SOUTH KOREA, MAR 11-14, 2019</p>",,,,culture; in the wild; persuasive robots; social robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goodrobotdesignormachiavelliananinthewildrobotleveragingminimalknowledgeofpassersbysculture,good robot design or machiavellian an inthewild robot leveraging minimal knowledge of passersbys culture social robots are being designed to use humanlike communication techniques including body language social signals and empathy to work effectively with people just as between people some robots learn about people and adapt to them in this paper we present one such robot design we developed sam a robot that learns minimal information about a persons background and adapts to this background our inthewild study found that people helped sam for significantly longer when it adapted to match their background while initially we saw this as a success in reconsidering our study we started seeing a different angle our robot effectively deceived people  changed its story and text based on some knowledge of their background to get more work from them there was little direct benefit to the person from this adaptation yet the robot stood to gain free labor we would like to pose the question to the community is this simply good robot design or is our robot being manipulative where does the ethical line lay between a robot leveraging social techniques to improve interaction and the more negative framing of a robot or algorithm taking advantage of people how can we decide what is good here and what is less desirable
Approaches for generating empathy: A systematic mapping,6,"Santos, B.S.; Júnior, M.C.; Nunes, M.A.S.N.",CEUR Workshop Proceedings,2018,conferencePaper,978-3-319-54977-4,,10.1007/978-3-319-54978-1_89,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045848351&doi=10.1007%2f978-3-319-54978-1_89&partnerID=40&md5=66e183f56f1d05e03864f6396a1ac24f,"Empathy plays an important role in social interactions, such an effective teaching-learning process in a teacher-student relationship, and company-client or employee-customer relationship to retain potential clients and provide them with greater satisfaction. Increasingly, people are using technology to support their interactions, especially when the interlocutors are geographically distant from one another. This has a negative impact on the empathic capacity of individuals. In the Computer Science, there are different approaches, techniques and mechanisms to promote empathy in social or human-computer interactions. Therefore, this article presents a systematic mapping to identify and systematize the approaches, techniques and mechanisms used in computing to promote empathy. As a result, we have identified existing approaches (e.g. collaborative learning environment, virtual and robotics agents, and collaborative/affective games) to promote empathy, the main areas involved (e.g. human-computer interaction, artificial intelligence, robotics, and collaborative systems), the top researchers and their affiliations who are potential contributors to future research and, finally, the growth status of this line of research. © Springer International Publishing AG 2018.",2018,2021-04-20T16:38:45Z,2021-04-20T16:38:45Z,,715-722,8,,558,,,,,,,,Springer Verlag,,English,,,,,,,ISSN: 21945357 Journal Abbreviation: Advances in Intelligent Systems and Computing,"<p>cited By 0; Conference of 2019 Papers of the Towards Conscious AI Systems Symposium, TOCAIS 2019 ; Conference Date: 25 March 2019 Through 27 March 2019; Conference Code:143406</p>; <p>cited By 5; Conference of 14th International Conference on Information Technology - New Generations, ITNG 2017 ; Conference Date: 10 April 2017 Through 12 April 2017; Conference Code:195369</p>",,,Collaborative learning environment; Collaborative systems; Computer aided instruction; Computer games; Computer supported cooperative work; Customer relationships; Customer satisfaction; Empathy; Human computer interaction; Human robot interaction; Mapping; Public relations; Rapport; Robotics; Secondary study; Social interactions; Systematic mapping studies; Teaching; Virtual reality,,"S, Latifi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,approachesforgeneratingempathyasystematicmapping,approaches for generating empathy a systematic mapping empathy plays an important role in social interactions such an effective teachinglearning process in a teacherstudent relationship and companyclient or employeecustomer relationship to retain potential clients and provide them with greater satisfaction increasingly people are using technology to support their interactions especially when the interlocutors are geographically distant from one another this has a negative impact on the empathic capacity of individuals in the computer science there are different approaches techniques and mechanisms to promote empathy in social or humancomputer interactions therefore this article presents a systematic mapping to identify and systematize the approaches techniques and mechanisms used in computing to promote empathy as a result we have identified existing approaches eg collaborative learning environment virtual and robotics agents and collaborativeaffective games to promote empathy the main areas involved eg humancomputer interaction artificial intelligence robotics and collaborative systems the top researchers and their affiliations who are potential contributors to future research and finally the growth status of this line of research  springer international publishing ag 2018
Development of a Pupil Response System with Empathy Expression in Face-to-Face Body Contact,1,"Sejima, Y.; Sato, Y.; Watanabe, T.",Advances in Intelligent Systems and Computing,2020,conferencePaper,,21945357,10.1007/978-3-030-20441-9_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067292321&doi=10.1007%2f978-3-030-20441-9_11&partnerID=40&md5=fca96565406ecfbf207a0f55a1651a8b,"Pupil response is closely related to human affects and emotions. Focusing on the pupil response in human- robot interaction, we developed a pupil response interface using hemisphere displays for enhancing affective expression. This interface can generate pupil response like human by speech input and enhance affective expression. In this study, for the basic research of forming an intimate communication between human and pet-robot, we analyzed the pupil response during his or her body contact stroking forearm or head by using a pupil measurement device. Based on the analysis, we developed an advanced pupil response system for enhancing intimacy. This system generates the empathy expression when the talker touches any surface of hemisphere displays. The effectiveness of the system was confirmed experimentally. © 2020, Springer Nature Switzerland AG.",2020,2021-04-20T16:38:35Z,2021-04-20T16:38:35Z,,95-102,8,,952,,,,,,,,,,English,,,,,,,ISBN: 9783030204402 Publisher: Springer Verlag,"<p>cited By 0; Conference of AHFE International Conference on Affective and Pleasurable Design, 2019 ; Conference Date: 24 July 2019 Through 28 July 2019; Conference Code:226989</p>",,,Body contacts; Emotional expressions; Empathy; Face to face; Human robot interaction; Man machine systems; Measurement device; Non-verbal communications; Pet Robots; Pupil response,,"S, Fukuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,developmentofapupilresponsesystemwithempathyexpressioninfacetofacebodycontact,development of a pupil response system with empathy expression in facetoface body contact pupil response is closely related to human affects and emotions focusing on the pupil response in human robot interaction we developed a pupil response interface using hemisphere displays for enhancing affective expression this interface can generate pupil response like human by speech input and enhance affective expression in this study for the basic research of forming an intimate communication between human and petrobot we analyzed the pupil response during his or her body contact stroking forearm or head by using a pupil measurement device based on the analysis we developed an advanced pupil response system for enhancing intimacy this system generates the empathy expression when the talker touches any surface of hemisphere displays the effectiveness of the system was confirmed experimentally  2020 springer nature switzerland ag
Poor Thing! Would You Feel Sorry for a Simulated Robot? A comparison of empathy toward a physical and a simulated robot,74,"Seo, Stela H.; Geiskkovitch, Denise; Nakane, Masayuki; King, Corey; Young, James E.",PROCEEDINGS OF THE 2015 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI'15),2015,conferencePaper,978-1-4503-2882-1,,10.1145/2696454.2696471,,"In designing and evaluating human-robot interactions and interfaces, researchers often use a simulated robot due to the high cost of robots and time required to program them. However, it is important to consider how interaction with a simulated robot differs from a real robot; that is, do simulated robots provide authentic interaction? We contribute to a growing body of work that explores this question and maps out simulated-versus-real differences, by explicitly investigating empathy: how people empathize with a physical or simulated robot when something bad happens to it. Our results suggest that people may empathize more with a physical robot than a simulated one, a finding that has important implications on the generalizability and applicability of simulated HRI work. Empathy is particularly relevant to social HRI and is integral to, for example, companion and care robots. Our contribution additionally includes an original and reproducible HRI experimental design to induce empathy toward robots in laboratory settings, and an experimentally validated empathy-measuring instrument from psychology for use with HRI.",2015,2021-04-19T15:57:47Z,2021-04-19T15:57:47Z,,125-132,8,,,,,,ACM IEEE International Conference on Human-Robot Interaction,,,,ASSOC COMPUTING MACHINERY,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",English,,,,,,,Backup Publisher: IEEE; ACM; ACM SIGCHI; ACM SIGART; IEEE Robot & Automat Soc; AAAI; HFES; ACM SIGAI ISSN: 2167-2121 Type: Proceedings Paper,"<p>10th Annual ACM/IEEE International Conference on Human-Robot Interaction (HRI), Portland, OR, MAR 02-05, 2015</p>",,,,empathy; Human-robot interaction; robot embodiment; simulated interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poorthingwouldyoufeelsorryforasimulatedrobotacomparisonofempathytowardaphysicalandasimulatedrobot,poor thing would you feel sorry for a simulated robot a comparison of empathy toward a physical and a simulated robot in designing and evaluating humanrobot interactions and interfaces researchers often use a simulated robot due to the high cost of robots and time required to program them however it is important to consider how interaction with a simulated robot differs from a real robot that is do simulated robots provide authentic interaction we contribute to a growing body of work that explores this question and maps out simulatedversusreal differences by explicitly investigating empathy how people empathize with a physical or simulated robot when something bad happens to it our results suggest that people may empathize more with a physical robot than a simulated one a finding that has important implications on the generalizability and applicability of simulated hri work empathy is particularly relevant to social hri and is integral to for example companion and care robots our contribution additionally includes an original and reproducible hri experimental design to induce empathy toward robots in laboratory settings and an experimentally validated empathymeasuring instrument from psychology for use with hri
Evaluation of a Head Motion Synchronization System in the Communicative Process Between Human and Robot,0,"Sin, Yap Miao Robin; Liang, Qiao; Tani, Koyu; Ogawa, Ken-ichiro; Miyake, Yoshihiro",2016 55TH ANNUAL CONFERENCE OF THE SOCIETY OF INSTRUMENT AND CONTROL ENGINEERS OF JAPAN (SICE),2016,conferencePaper,978-4-907764-50-0,,10.1109/SICE.2016.7749252,,"An aging population is world-wide social problem which affects many developed and developing countries. In this regard, many social robots based on reactive system have been developed to provide companionship for elderly adults with neurocognitive impairments such as dementia. However, these systems remain a problem such that no interactive dynamics of body gestures between human and robot has been considered. In this research, therefore, we developed a head motion synchronization system using mutual entrainment and implement it in a communication robot. This system was evaluated by conducting one-way face-to-face human-robot communication experiments with young native Japanese speakers under three conditions, namely unreactive, reactive and interactive conditions. Head motion synchrony analysis revealed a leader-follower relationship for the reactive model and a mutual entrainment of head motion for the interactive model. Also, questionnaire survey results showed the degree of empathy for interactive condition was significantly higher as compared with reactive and unreactive conditions. In addition, the degree of naturalness for interactive condition was significantly higher as compared with unreactive condition. Hence, these indicate that empathy was shared through mutual entrainment of head motion, which could provide a smooth interface in human-robot communication. This system would be extended to elderly adults as an assistive system for the elderly's rehabilitation.",2016,2021-04-19T15:57:20Z,2021-04-19T15:57:20Z,,1514-1519,6,,,,,,,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Type: Proceedings Paper,"<p>55th Annual Conference of the Society of Instrument and Control Engineers of Japan (SICE), Tsukuba, JAPAN, SEP 20-23, 2016</p>",,,,Head motion synchronization; human-robot interaction; mutual entrainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evaluationofaheadmotionsynchronizationsysteminthecommunicativeprocessbetweenhumanandrobot,evaluation of a head motion synchronization system in the communicative process between human and robot an aging population is worldwide social problem which affects many developed and developing countries in this regard many social robots based on reactive system have been developed to provide companionship for elderly adults with neurocognitive impairments such as dementia however these systems remain a problem such that no interactive dynamics of body gestures between human and robot has been considered in this research therefore we developed a head motion synchronization system using mutual entrainment and implement it in a communication robot this system was evaluated by conducting oneway facetoface humanrobot communication experiments with young native japanese speakers under three conditions namely unreactive reactive and interactive conditions head motion synchrony analysis revealed a leaderfollower relationship for the reactive model and a mutual entrainment of head motion for the interactive model also questionnaire survey results showed the degree of empathy for interactive condition was significantly higher as compared with reactive and unreactive conditions in addition the degree of naturalness for interactive condition was significantly higher as compared with unreactive condition hence these indicate that empathy was shared through mutual entrainment of head motion which could provide a smooth interface in humanrobot communication this system would be extended to elderly adults as an assistive system for the elderlys rehabilitation
An Architecture for Telenoid Robot as Empathic Conversational Android Companion for Elderly People,9,"Sorbello, Rosario; Chella, Antonio; Giardina, Marcello; Nishio, Shuichi; Ishiguro, Hiroshi",IN℡LIGENT AUTONOMOUS SYSTEMS 13,2016,conferencePaper,978-3-319-08338-4 978-3-319-08337-7,,10.1007/978-3-319-08338-4_68,,"In Human-Humanoid Interaction (HHI), empathy is the crucial key in order to overcome the current limitations of social robots. In facts, a principal defining characteristic of human social behaviour is empathy. The present paper presents a robotic architecture for an android robot as a basis for natural empathic human-android interaction. We start from the hypothesis that the robots, in order to become personal companions need to know how to empathic interact with human beings. To validate our research, we have used the proposed system with the minimalistic humanoid robot Telenoid. We have conducted human-robot interactions test with elderly people with no prior interaction experience with robot. During the experiment, elderly persons engaged a stimulated conversation with the humanoid robot. Our goal is to overcome the state of loneliness of elderly people using this minimalistic humanoid robot capable to exhibit a dialogue similar to what usually happens in real life between human beings. The experimental results have shown a humanoid robotic system capable to exhibit a natural and empathic interaction and conversation with a human user.",2016,2021-04-19T15:57:25Z,2021-04-19T15:57:25Z,,939-953,15,,302,,,,Advances in Intelligent Systems and Computing,,,,SPRINGER-VERLAG BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",English,,,,,,,Backup Publisher: Univ Padova ISSN: 2194-5357 Type: Proceedings Paper,"<p>13th International Conference on Intelligent Autonomous Systems (IAS), Centro Congressi Padova, Padova, ITALY, JUL 15-18, 2014</p>",,,,Humanoid robot; Humanoid robot interaction; Life support empathic robot; Telenoid,"Menegatti, E and Michael, N and Berns, K and Yamaguchi, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anarchitecturefortelenoidrobotasempathicconversationalandroidcompanionforelderlypeople,an architecture for telenoid robot as empathic conversational android companion for elderly people in humanhumanoid interaction hhi empathy is the crucial key in order to overcome the current limitations of social robots in facts a principal defining characteristic of human social behaviour is empathy the present paper presents a robotic architecture for an android robot as a basis for natural empathic humanandroid interaction we start from the hypothesis that the robots in order to become personal companions need to know how to empathic interact with human beings to validate our research we have used the proposed system with the minimalistic humanoid robot telenoid we have conducted humanrobot interactions test with elderly people with no prior interaction experience with robot during the experiment elderly persons engaged a stimulated conversation with the humanoid robot our goal is to overcome the state of loneliness of elderly people using this minimalistic humanoid robot capable to exhibit a dialogue similar to what usually happens in real life between human beings the experimental results have shown a humanoid robotic system capable to exhibit a natural and empathic interaction and conversation with a human user
Study of Empathy on Robot Expression Based on Emotion Estimated from Facial Expression and Biological Signals,2,"Sripian, Peeraya; Kurono, Yuya; Yoshida, Reiji; Sugaya, Midori",2019 28TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2019,conferencePaper,978-1-72812-622-7,,10.1109/SICE.2016.7749252,,"Empathy, the ability to share the other's feeling, is one of the effective elements in promoting mutual reliability and construction of a good relationship. In order to create empathy between human-robot, a robot must be able to estimate the emotion of human and reflect the same emotion on its expression. In general, emotion can be estimated based on observable expressions such as facial expression, or unobservable expressions such as biological signals. Although there are many methods for measuring emotion from both facial expression and biological signals, few studies have been done on the comparison of estimated emotion. In this paper, we investigate whether emotion estimated from facial expression or biological signals could lead to empathy toward a robot. Using our proposed emotion estimation system, we performed two experiments and found that higher impression was rated on sociability elements with significant when the reflected emotion is estimated from uncontrollable emotion.",2019,2021-04-19T15:56:28Z,2021-04-19T15:56:28Z,,1-8,8,,,,,,IEEE RO-MAN,,,,IEEE,"345 E 47TH ST, NEW YORK, NY 10017 USA",English,,,,,,,Backup Publisher: IEEE ISSN: 1944-9445 Type: Proceedings Paper,"<p>28th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN), New Delhi, INDIA, OCT 14-18, 2019</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,studyofempathyonrobotexpressionbasedonemotionestimatedfromfacialexpressionandbiologicalsignals,study of empathy on robot expression based on emotion estimated from facial expression and biological signals empathy the ability to share the others feeling is one of the effective elements in promoting mutual reliability and construction of a good relationship in order to create empathy between humanrobot a robot must be able to estimate the emotion of human and reflect the same emotion on its expression in general emotion can be estimated based on observable expressions such as facial expression or unobservable expressions such as biological signals although there are many methods for measuring emotion from both facial expression and biological signals few studies have been done on the comparison of estimated emotion in this paper we investigate whether emotion estimated from facial expression or biological signals could lead to empathy toward a robot using our proposed emotion estimation system we performed two experiments and found that higher impression was rated on sociability elements with significant when the reflected emotion is estimated from uncontrollable emotion
