Title,Citations,Type of publication,Journal/conference name,Year,Country (funding affiliation),Field(s),"Meets inclusion criteria (contains methods/study/model, is not a survey, implements empathetic AI)",Out-of-scope (0),NOTES,Domain,Category,Hypothesis,Context dependence,NOTES,Definition used (NOT systematic),Definition implemented,Domain of empathy,Study design,Measurement method,Studying human's  or robot's response?,NOTES,Modalities,Quantity of data,NOTES,Embodiment,Application space,Approach,Definition,Domain,NOTES,Methodology,Control group,Treatment group,Subject handling,NOTES,Type of baseline,Performance metric,Validation procedure,Statistical testing,Comparison of results,NOTES,Dataset,Code,NOTES
Group-based Emotions in Teams of Humans and Robots,36,conferencePaper,HRI `18: PROCEEDINGS OF THE 2018 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,2018,PT,emotion; group effects; Human-robot teamwork; identification; inter-group interactions; self-categorisation; trust,1,, ,,,,,,none,emotional empathy,"emotional empathy, mirroring, group behavior, in-group",game,questionnaires,h,"This paper IS trying to teach AI empathy; in-group/out-group experimental designs compare shared group behavior with ""outsider"" behavior",,,,EMYS robot,HRI,Not specified,,,Studies expression of individual and group-based emotions and its effect on group dynamics,,,,,,,,,,,,0,0,
Empathic concern and the effect of stories in human-robot interaction,84,conferencePaper,2015 24TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2015,US,,1,,Country=authors,,,,,,DEF: anthropomorphism,"prosociality, pain",behavioral threshold,"personal narrative, pain study","reaction time, questionnaire",h,,,,,Hexbug nano,HRI,Not specified,,,Studies trait empathy towards robot with and without a back-stories,,,,,,,,,,,,0,0,
A Laughing-driven Pupil Response System for Inducing Empathy,2,conferencePaper,2016 IEEE/SICE INTERNATIONAL SYMPOSIUM ON SYSTEM INTEGRATION (SII),2016,JP,,1,,"Same system used in ""A Laughing-driven Pupil Response System for Inducing Empathy"", ""Development of a Pupil Response System with Empathy Expression in Face-to-Face Body Contact"" and ""A pupil response system using hemispherical displays for enhancing affective conveyance""",,,,,,none,emotional empathy,humor,social interaction,pupil response,h,,,,,Robotic Eye,HRI,GOFAI,,,Studies robotic eye-expression in response to a joke as a mechanism to elicit an empathetic response towards robots,,,,,,,,,,,,0,0,
Human-Robot Interaction based on Facial Expression Imitation,1,conferencePaper,2019 7TH INTERNATIONAL CONFERENCE ON ROBOTICS AND MECHATRONICS (ICROM 2019),2019,IR,Convolutional Neural Network; Facial Expression Recognition; Human Robot Interaction; Imitation; Social Robots,1,, ,,,,,,none,imitation,facial expression,"behavior modelling, machine learning","questionnaires, behavior modelling","h, R",,,,,RASA Robot,HRI,Emotion Recognition: CNN,,,Studies facial expression mimicry as a mechanism to elicit empathy towards robots,,,,,,,,,,,,0,0,
Do We Need Emotionally Intelligent Artificial Agents? First Results of Human Perceptions of Emotional Intelligence in Humans Compared to Robots,18,conferencePaper,"IN℡LIGENT VIRTUAL AGENTS, IVA 2017",2017,US,emotional intelligence; empathetic robot; Human-robot interaction,1,, ,,,,,,none,emotional intelligence,body language,"social interaction, behavior modelling",questionnaires,h,,,,,None / Videos of interactions with the PR2 robot,HRI,Not specified,,,"Studies perception of different levels of “empathetic” responses from a robots towards its human partner. Staged recordings, the participants rather the videos",,,,,,,,,,,,0,0,
Effectiveness of Android-Based Mobile Robots For Children Asperger Syndrome,0,conferencePaper,2018 International Conference on Applied Information Technology and Innovation (ICAITI),2018,ID,,1,,Country=authors,,,,,,none,socialability,not specified,therapeutic intervention,behavioral observation,h,,,,,Custom small wheeled robot / Cozmo-like,HRI / Therapy,Not specified,,,Play therapy for Children with Asperger’s Syndrome. Nothing about empathy,,,,,,,,,,,,0,0,
Evaluation of the Emotional Answer in HRI on a Game Situation,1,conferencePaper,Proceedings of the Latin American Conference on Human Computer Interaction,2015,MX,,1,,Country=author,,,,,,DEF: mentalizing,emotional empathy,body language,game,"cardiac, breathing, behavioral self-report",h,,,,,NAO Robot,HRI,Not specified,,,Studies a mechanism to elicit empathy towards robots in a lottery game,,,,,,,,,,,,0,0,
Influence of Upper Body Pose Mirroring in Human-Robot Interaction,12,conferencePaper,SOCIAL ROBOTICS (ICSR 2015),2015,UK,Anthropomorphism; Body-pose mirroring; Empathy; Rapport,1,,Country=authors,,,,,,none,imitation,"body language, mirroring",social interaction,questionnaire,h,,,,,NAO Robot,HRI,Not specified,,,Studies upper body mimicry as a mechanism to elicit empathy towards robots,,,,,,,,,,,,0,0,
Towards Empathetic Human-Robot Interactions,39,conferencePaper,"COMPUTATIONAL LINGUISTICS AND IN℡LIGENT TEXT PROCESSING, (CICLING 2016), PT II",2018,HK,,1,,Country=authors,,,,,,none,"emotional empathy, humor",verbal cues,"behavior modelling, machine learning","signal processing ,sentiment analysis, machine learning ",R,,,,,Avatar,HRI,Multimodal ER: CNN + LSTM,,,"Emotion, sentiment and humor recognition. Another paper seems to describe the system further",,,,,,,,,,,,0,0,
The Maze of Realizing Empathy with Social Robots,0,conferencePaper,2020 29TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2020,ES,,1,,Country=authors,,,,,,descriptions but no definition - sections I - IV might be useful,"emotional empathy, prosociality",cooperation,game,questionnaire,h,,,,,Robobo,HRI,GOFAI,,,"Dialogue-based interaction, in which the robot argues about how to make the next decision based on the game's history and the user's response. Attempts to develop trust from the user",,,,,,,,,,,,0,0,
Expression of Emotions by a Service Robot: A Pilot Study,7,conferencePaper,"DESIGN, USER EXPERIENCE, AND USABILITY: TECHNOLOGICAL CONTEXTS, PT III",2016,IT,Emotional design; Healthcare; Human robot interaction; Service robot; User experience,1,,Country=authors,,,,,,none,"emotional empathy, imitation","facial expression, body language, mimicry",behavior modelling,questionnaire,h,,,,,Virtual Reality,HRI,Not specified,,,Studies emotion-laden facial and body expressions to improve HRI communication and elicit empathy towards the robot,,,,,,,,,,,,0,0,
A Deep Learning Approach to Modeling Empathy in Addiction Counseling,20,conferencePaper,"17TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2016), VOLS 1-5: UNDERSTANDING SPEECH PROCESSING IN HUMANS AND MACHINES",2016,US,behavioral signal processing; motivational interviews; recurrent neural networks; word embedding,1,, ,,,,,,none,emotional empathy,verbal cues,deep learning,deep learning,R,,,,,None / Text,Psychology / Counseling,ER Text: LSTM,,,Develops a system to quantify levels of empathy from a counselor towards the patient.,,,,,,,,,,,,0,0,
Biophilic Evolutionary Buildings that Restore the Experience of Animality in the City,1,conferencePaper,"BIOMIMETIC AND BIOHYBRID SYSTEMS, LIVING MACHINES 2015",2015,UK;ES,Biomimicry; Biophilia; Embodied evolution; Evolutionary robotics; Intelligent buildings; Wellbeing,1,1,Country=authors,,,,,,,,,,,,,,,,Buildings,Architecture,,,,Biological-like behavior for robotic components in buildings,,,,,,,,,,,,0,0,
I Remember You! Interaction with Memory for an Empathic Virtual Robotic Tutor,24,conferencePaper,Proceedings of the 2016 International Conference on Autonomous Agents &amp; Multiagent Systems,2016,EU,,1,, ,,,,,,none,informational empathy,memory,pedagogical task,questionnaire,h,,,,,Virtual Agent / EMYS Robot,HRI,Cognitive Architecture,,,Studies the effect of an virtual tutor with memory as a mechanism to elicit empathy towards the tutor.,,,,,,,,,,,,0,0,
Expression of Grounded Affect: How Much Emotion Can Arousal Convey?,0,conferencePaper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020,UK,,1,,Country=authors,,,,,,none,emotional empathy,body language,behavior modelling,interview,h,,,,,Hexapod Robot,HRI,GOFAI,,,Studies body expressions as a mechanism to elicit empathy towards the robot,,,,,,,,,,,,0,0,
Design and Evaluation of a Peripheral Robotic Conversation Companion,78,conferencePaper,PROCEEDINGS OF THE 2015 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI'15),2015,IL,Ambient kinetic tangibles; Behavior change; Design; Empathy; Human-robot interaction; Robotic companions; Smartphone robots,1,,Country=authors,,,,,,none,emotional empathy,"verbal cues, body language",social interaction,behavioral observation,h,,,,,Kip1 robot (lamp-like),HRI,GOFAI / Not specified,,,Studies the effect of body expressions of a robotic bystander in human-human interaction to evoke more empathy interactions among people,,,,,,,,,,,,0,0,
When Children Teach a Robot to Write: An Autonomous Teachable Humanoid Which Uses Simulated Handwriting,145,conferencePaper,PROCEEDINGS OF THE 2015 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI'15),2015,CH,,1,, ,,,,,,none,"meta-cognition, informational empathy, prosociality",helping,pedagogical task,factor analysis,h,,,,,NAO Robot,HRI,Character generation and recognition: GOFAI / PCA,,,Studies whether children teaching a robot how to write can help improve children confidence and selfsteem,,,,,,,,,,,,0,0,
Artificial Empathy in Social Robots: An analysis of Emotions in Speech,12,conferencePaper,2018 27TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (IEEE RO-MAN 2018),2018,NZ,,1,, ,,,,,,none,emotional empathy,emotional cues,behavior modelling,questionnaire,h,,,,,Heathbot,HRI,GOFAI,,,Studies the effect of voice (prosody) in humans’ perception of empathy,,,,,,,,,,,,0,0,
Emotion Synchronization Method for Robot Facial Expression,0,conferencePaper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2020,JP,Biological signals; Communication robot; Emotion estimation; Facial Expressions; Human computer interaction; Human emotion; Human robots; Robots; Subjective impressions; Synchronization; Synchronization method; Empathy,1,,Country=authors,,,,,,"DEF: Syncrhony ""Empathy can be created by syncing human emotion with the robot expression""","synchrony, emotional empathy","facial expressions, biological signal",behavior modelling,"questionnaire, observed behavior, neuroimaging, heart rate",h,,,,,ROMAN,HRI,GOFAI,,,"Studies the effect of facial expression mimicry, complemented with brain wave and heart rate information",,,,,,,,,,,,0,0,
Smiles of children with ASD may facilitate helping behaviors to the robot,0,conferencePaper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,JP,,1,,Country=authors,,,,,,none,"prosociality, emotional empathy","helping, facial expressions",social interaction,behavioral observation,h,,,,,NAO Robot,HRI,Wizard of Oz,,,Studies the use of smiles (robot) to promote helping behavior from Children with ASD towards a robot,,,,,,,,,,,,0,0,
Development and Evaluation of an Interactive Therapy Robot,4,conferencePaper,"ADVANCES IN COMPUTER ENTERTAINMENT TECHNOLOGY, ACE 2017",2018,JP,Healing elements Therapeutic robots designed to communicate with humans; Therapeutic effect,1,,Country=authors,,,,,,none,"personality, prosociality, emotional intelligence, reciprocity","body language, verbal cues, superficial appearance",social interaction,"questionnaire, factor analysis",h,,,,,Teddy bear,Psychology / Therapy,GOFAI: FER: OpenCV; Voice Recognition: NTT DoCoMo,,,Attempt to replace zootherapy with robots,,,,,,,,,,,,0,0,
Effect of Explicit Emotional Adaptation on Prosocial Behavior of Humans towards Robots depends on Prior Robot Experience,5,conferencePaper,2018 27TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (IEEE RO-MAN 2018),2018,DE,,1,, ,,,,,,none,"adaptability, prosociality, emotional empathy, emotional intelligence","helping, mirroring, facial expressions, verbal cues, mood",social interaction,"questionnaire, behavioral observation",h,,,,,NAO Robot,HRI,GOFAI,,,Studies non-explicit emotional expressions mechanisms that would still evoke empathetic responses towards the robot,,,,,,,,,,,,0,0,
Counseling Robot Implementation and Evaluation,3,conferencePaper,"2018 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)",2018,JP,Counseling; Dialog Promotion; Nodding; Robot; unazuki,1,, ,,,,,,none,approval,"body language, verbal cues, superficial appearance",social interaction,"questionnaire, behavioral observation",h,,,,,Custom Robotic Head,HRI / Counseling,Chatbot: GOFAI / Fuzzy Logic,,,Studies the effect of nodding and non-verbal cues in embodied chatbots,,,,,,,,,,,,0,0,
"Compassion, empathy and sympathy expression features in affective robotics",17,conferencePaper,"7th IEEE International Conference on Cognitive Infocommunications, CogInfoCom 2016 - Proceedings",2017,PL,,1,,Country=authors,,,,,,none,emotional empathy,"emotion recognition, verbal cues, mood",sorting task,"cultural differences, sorting task",h,,,,,None,Linguistics,GOFAI / NodeXL,,,"Comparison between definition and written expression of compassion, empathy and sympathy between British English and Polish",,,,,,,,,,,,0,0,
Application of Formative Assessment for the Enhanced Foreign Language Learning,1,conferencePaper,EDULEARN18: 10TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,2018,,foreign language learning and teaching; Formative assessment; student-centered approach; tertiary education,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Performance Analysis of Unimodal and Multimodal Models in Valence-Based Empathy Recognition,2,conferencePaper,2019 14TH IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION (FG 2019),2019,EU;DE,,1,, ,,,,,,none,adaptability,"facial expressions, body language, verbal cues","machine learning, social interaction","feature analysis, machine learning",h,,,,,Videos,Computer Vision,"Multimodal ER: OpenFace, OpenSMILE + BLSTM",,,Audio-visual valence-based empathy recognition,,,,,,,,,,,,0,0,
High Sensitivity Layer Feature Analysis in Food Market,1,conferencePaper,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2019,JP,,1,1,Country=authors,,,,,,,,,,,,,,,,None,Marketing,,,,Studies the use of images in marketing of food,,,,,,,,,,,,0,0,
"Degrees of Empathy: Humans’ Empathy Toward Humans, Animals, Robots and Objects",0,conferencePaper,Lecture Notes in Electrical Engineering,2019,IT,,1,,Country=authors,,,,,,"DEF: ""Empathy is the ability to understand and feel what social partners feel, to perceivetheir feelings and emotions and to understand others’ points of view, mental states,beliefs and thoughts.""","pain, compassion","behavioral threshold, self-descriptions",social interaction,questionnaire,h,,,,,Videos,HRI?,Not Applicable,,,Studies the effect of embodiment on the level of empathy elicited,,,,,,,,,,,,0,0,
Robot-on-Robot Gossiping to Improve Sense of Human-Robot Conversation,1,conferencePaper,2020 29TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2020,JP,,1,, ,,,,,,none,gossip,verbal cues,social interaction,questionnaire,h,,,,,CommU,HRI,GOFAI,,,Studies the effect of Gossiping as a mechanism to elicit empathy towards the robot,,,,,,,,,,,,0,0,
Studying Effects of Incorporating Automated Affect Perception with Spoken Dialog in Social Robots,4,conferencePaper,2018 27TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (IEEE RO-MAN 2018),2018,US,,1,, ,,,,,,none,emotional empathy,facial expressions,social interaction,"questionnaire, behavioral observation",h,,,,,Ryan Companionbot,HRI,GOFAI / FER: CNN or Wizard of Oz,,,Studies the effect of predefined sentences that align better with the facial expressions of the human. Implements a facial emotion recognition system.,,,,,,,,,,,,0,0,
The Role of Animism Tendencies and Empathy in Adult Evaluations of Robot,4,conferencePaper,Proceedings of the 7th International Conference on Human-Agent Interaction,2019,JP,,1,, ,,,,,,none,animism,"superficial appearance, superficial appearance",photo rating task,questionnaire,h,,,,,"Toyota’s KIROBO mini, Sony’s aibo and MJI’s Tapia",HRI,Not Applicable,,,Studies the effect of embodiment on levels as ascribed autonomy and empathy,,,,,,,,,,,,0,0,
Robot Mirroring: Promoting Empathy with an Artificial Agent by Reflecting the User's Physiological Affective States,0,conferencePaper,2020 29TH IEEE INTERNATIONAL CONFERENCE ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),2020,JP;CH;FR,embodiment; empathy and intersubjectivity; haptic feedback; human-machine interaction,1,,Country=authors,,,,,,none,"mirroring, emotional empathy","biological signal, superficial appearance, facial expressions, mood","photo rating task, haptic feedback","questionnaire, heart rate",h,,,,,Virtual Agent,HRI,GOFAI / Empatica e4,,,Studies the effect of mimicring the inferred affective state of the user by measuring physiological signals,,,,,,,,,,,,0,0,
Ideal Warrior and Robot Relations: Stress and Empathy's Role in Human-Robot Teaming,1,conferencePaper,2019 SYSTEMS AND INFORMATION ENGINEERING DESIGN SYMPOSIUM (SIEDS),2019,US,Human-machine teaming; Human-robot interaction,1,, ,,,,,,none,stress,in-group,"social interaction, stress task",questionnaire,h,,,,,Pepper Robot,HRI,Not specified,,,Studies the effect of stress on empathy towards the robot in a military setting,,,,,,,,,,,,0,0,
Towards a Robot Computational Model to Preserve Dignity in Stigmatizing Patient-Caregiver Relationships,7,conferencePaper,SOCIAL ROBOTICS (ICSR 2015),2015,US,,1,, ,,,,,,none,shame,"verbal cues, emotional cues",computational model,computational model,h,,,,,None,HRI / Caregivers,GOFAI / Probabilistic model,,,Introduces a probabilities model for shame and guilt in a patient-caregiver setting to estimate the level of the empathy response necessary in the interaction,,,,,,,,,,,,0,0,
Evaluation of Classifiers for Emotion Detection While Performing Physical and Visual Tasks: Tower of Hanoi and IAPS,0,conferencePaper,"IN℡LIGENT SYSTEMS AND APPLICATIONS, VOL 1",2019,TH;SE;SA;PK;AU,Artificial Neural Networks (ANN); Bayesian Network (BNT); Cognitive psychology; Electroencephalography (EEG); Human Computer Interaction (HCI); K-Nearest Neighbor (KNN); Regression Tree (RT); Support Vector Machine (SVM); Tower of Hanoi (ToH),1,,Country=authors,,,,,,none,emotional empathy,biological signal,machine learning,"brain imaging, machine learning","h, R",,,,,None,HRI?,"EGG: KNN, RT, BNT, SVM and ANN",,,Estimating emotional state using EEG,,,,,,,,,,,,0,0,
An Emotion-Based Interaction Strategy to Improve Human-Robot Interaction,4,conferencePaper,PROCEEDINGS OF 13TH LATIN AMERICAN ROBOTICS SYMPOSIUM AND 4TH BRAZILIAN SYMPOSIUM ON ROBOTICS - LARS/SBR 2016,2016,BR,,1,,Country=authors,,,,,,none,emotional empathy,facial expressions,"game, social interaction",questionnaire,h,,,,,Smartphone,HRI,"FER: MLP, SVM, C4.5",,,Facial emotion recognition to tailor the reply of a virtual agent,,,,,,,,,,,,0,0,
Empathic Interaction using the Computational Emotion Model,5,conferencePaper,2015 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL IN℡LIGENCE (IEEE SSCI),2015,MY,,1,, ,,,,,,none,"personality, emotional empathy, arousal","mood, facial expressions","social interaction, behavioral modelling",fuzzy logic,R,,,,,Videos,HRI / Computer Vision,GOFAI / FER: Constrained Local Model (CLM) + Viola-Jones cascade classifier + Fuzzy Logic,,,Facial emotion recognition to generate a empathetic response taking into consideration estimated personality traits and emotional state of the human,,,,,,,,,,,,0,0,
Development of a Cloud-based Computational Framework for an Empathetic Robot,1,conferencePaper,PROCEEDINGS OF 2019 11TH INTERNATIONAL CONFERENCE ON COMPUTER AND AUTOMATION ENGINEERING (ICCAE 2019),2019,AU,cloud control; deep learning; emotion classification; intent perception; robot,1,, ,,,,,,none,emotional empathy,"verbal cues, facial expressions","social interaction, deep learning",deep learning,R,,,,,Turtlebot3 robot,HRI / Industry 5.0,Text-based ER: CNN,,,Estimation of emotional state from Speech used to change the robot behavior in an industrial setting,,,,,,,,,,,,0,0,
Good Robot Design or Machiavellian? An in-the-wild robot leveraging minimal knowledge of passersby's culture,6,conferencePaper,HRI `19: 2019 14TH ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION,2019,CA,culture; in the wild; persuasive robots; social robots,1,,Country=authors,,,,,,none,"adaptability, informational empathy, cultural competence","verbal cues, individual differences, human culture","social interaction, deception","timing measures, questionnaire ",h,,,,,SAM,HRI,Wizard of Oz,,,User profiling for custom a more custom dialogue aiming at eliciting empathy towards the robot,,,,,,,,,,,,0,0,
Approaches for generating empathy: A systematic mapping,6,conferencePaper,CEUR Workshop Proceedings,2018,BR,,0,, ,,,,,,,,,,,,,,,,,,,,,Review paper,,,,,,,,,,,,0,0,
Development of a Pupil Response System with Empathy Expression in Face-to-Face Body Contact,1,conferencePaper,Advances in Intelligent Systems and Computing,2020,JP,,1,,"Same system used in ""A Laughing-driven Pupil Response System for Inducing Empathy"", ""Development of a Pupil Response System with Empathy Expression in Face-to-Face Body Contact"" and ""A pupil response system using hemispherical displays for enhancing affective conveyance""",,,,,,none,"emotional empathy, touch","body language, verbal cues, vocal cues, biological signal",physical interaction,pupil response,h,,,,,Robotic Eye,HRI,GOFAI / Not specified,,,Studies robotic eye-expression in response to strokes and speech,,,,,,,,,,,,0,0,
Poor Thing! Would You Feel Sorry for a Simulated Robot? A comparison of empathy toward a physical and a simulated robot,74,conferencePaper,PROCEEDINGS OF THE 2015 ACM/IEEE INTERNATIONAL CONFERENCE ON HUMAN-ROBOT INTERACTION (HRI'15),2015,CA,empathy; Human-robot interaction; robot embodiment; simulated interaction,1,, ,,,,,,none,"embodiment, emotional empathy, pain","body language, verbal cues, vocal cues","social interaction, types of embodiment, personal narrative",questionnaire,h,,,,,NAO Robot,HRI,Wizard of Oz,,,Compares the effectiveness of real physical robots versus simulated robots in eliciting empathetic responses,,,,,,,,,,,,0,0,
Evaluation of a Head Motion Synchronization System in the Communicative Process Between Human and Robot,0,conferencePaper,2016 55TH ANNUAL CONFERENCE OF THE SOCIETY OF INSTRUMENT AND CONTROL ENGINEERS OF JAPAN (SICE),2016,JP,Head motion synchronization; human-robot interaction; mutual entrainment,1,,Country=authors,,,,,,none,synchrony,body language,"social interaction, role playing","head motion analysis, questionnaire",h,,,,,NAO Robot,HRI,GOFAI,,,Studies nodding (head synchronization) as a mechanism to elicit empathy towards the robot,,,,,,,,,,,,0,0,
An Architecture for Telenoid Robot as Empathic Conversational Android Companion for Elderly People,9,conferencePaper,IN℡LIGENT AUTONOMOUS SYSTEMS 13,2016,IT;JP,Humanoid robot; Humanoid robot interaction; Life support empathic robot; Telenoid,1,,Country=authors,,,,,,none,informational empathy,verbal cues,social interaction,machine learning,h,,,,,Telenoid,HRI,GOFAI / Dialogue FSM + SVM,,,Dialogue system which adapts questions to the conversation context,,,,,,,,,,,,0,0,
